Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0603_1608Metric",90.175000,-68.225000,-90.000000,top
"C2","2.2uF","C_0603_1608Metric",191.200000,-77.000000,-90.000000,top
"C3","100nF","C_0603_1608Metric",99.775000,-97.000000,180.000000,top
"C4","10uF","C_0603_1608Metric",94.000000,-105.775000,90.000000,top
"C5","10uF","CP_Elec_4x3",191.200000,-82.000000,0.000000,top
"C6","0.01uF","CP_Elec_4x3",178.000000,-73.800000,-90.000000,top
"C7","10u","C_0603_1608Metric",176.225000,-96.000000,0.000000,top
"C8","22u","C_0603_1608Metric",190.775000,-102.000000,180.000000,top
"C9","1u","C_0603_1608Metric",150.000000,-95.000000,-90.000000,top
"C10","1u","C_0603_1608Metric",149.000000,-87.000000,180.000000,top
"C11","0.01uF","CP_Elec_4x3",195.200000,-67.000000,180.000000,top
"C12","2.2uF","C_0603_1608Metric",201.200000,-57.000000,0.000000,top
"C13","10uF","C_0603_1608Metric",202.200000,-61.000000,90.000000,top
"C14","0.1u","C_0603_1608Metric",125.225000,-62.000000,0.000000,top
"D9","D_Schottky","D_2114_3652Metric",151.000000,-102.000000,0.000000,top
"GREEN1","LED","LED_0201_0603Metric",114.345000,-99.000000,0.000000,top
"J1","USB_C_Receptacle","USB_C_Receptacle_Amphenol_12401610E4-2A",97.735000,-76.320000,0.000000,top
"J2","Battery","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",86.285000,-76.720000,0.000000,top
"J3","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",152.000000,-74.000000,90.000000,top
"J4","Conn_02x16_Odd_Even","PinHeader_2x16_P2.54mm_Horizontal",131.900000,-65.650000,90.000000,top
"J5","B6B-PH-K-S_LF__SN_","PinHeader_1x06_P2.54mm_Horizontal",199.000000,-89.840000,0.000000,top
"J7","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",99.000000,-109.000000,90.000000,top
"L1","4.7u","L_0201_0603Metric",156.655000,-87.000000,180.000000,top
"Q1","IRLML6402","SOT-23",88.000000,-104.000000,0.000000,top
"Q2","IRLML6402","SOT-23",120.762500,-78.000000,0.000000,top
"Q3","IRLML6402","SOT-23",137.700000,-78.000000,0.000000,top
"R1","1.2k","R_0603_1608Metric",91.000000,-54.000000,0.000000,top
"R2","220","R_0603_1608Metric",94.825000,-54.000000,0.000000,top
"R3","5.6k","R_0603_1608Metric",94.000000,-98.000000,0.000000,top
"R4","0.4","R_0603_1608Metric",104.000000,-97.000000,0.000000,top
"R5","1k","R_0603_1608Metric",109.000000,-102.175000,-90.000000,top
"R6","1k","R_0603_1608Metric",109.000000,-106.175000,-90.000000,top
"R7","1","R_0603_1608Metric",164.000000,-82.800000,90.000000,top
"R8","0.39","R_0603_1608Metric",181.000000,-83.800000,90.000000,top
"R9","33","R_0603_1608Metric",99.175000,-54.000000,0.000000,top
"R10","100k","R_0603_1608Metric",157.000000,-105.000000,0.000000,top
"R11","33k","R_0603_1608Metric",161.000000,-105.000000,0.000000,top
"R12","1M","R_0603_1608Metric",94.175000,-67.000000,0.000000,top
"R13","5.1k","R_0603_1608Metric",98.175000,-67.000000,0.000000,top
"R14","5.1k","R_0603_1608Metric",107.175000,-75.000000,0.000000,top
"R15","100k","R_0603_1608Metric",149.000000,-91.000000,180.000000,top
"R16","1k","R_0603_1608Metric",113.225000,-54.000000,0.000000,top
"R17","10K","R_0603_1608Metric",136.700000,-73.000000,0.000000,top
"R18","1","R_0603_1608Metric",187.200000,-55.000000,0.000000,top
"R19","0.39","R_0603_1608Metric",186.200000,-71.000000,180.000000,top
"R20","3.3k","R_0603_1608Metric",94.000000,-102.000000,0.000000,top
"R21","10k","R_0603_1608Metric",83.000000,-103.175000,-90.000000,top
"R22","10","R_0603_1608Metric",125.225000,-58.000000,-90.000000,top
"R23","R_LIMIT","R_0603_1608Metric",141.875000,-74.000000,0.000000,top
"R24","1k","R_0603_1608Metric",131.700000,-79.000000,0.000000,top
"R25","R_LIMIT","R_0603_1608Metric",122.700000,-73.000000,0.000000,top
"R26","10K","R_0603_1608Metric",117.700000,-73.000000,0.000000,top
"R27","1k","R_0603_1608Metric",114.700000,-79.000000,0.000000,top
"RED1","LED","LED_0201_0603Metric",114.655000,-104.000000,0.000000,top
"SW1","SW_Push","Nidec_Copal_SH-7010A",134.460000,-102.750000,-90.000000,top
"U1","DRV8833PWP","HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias",169.500000,-75.050000,90.000000,top
"U2","TP4056","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm",101.430000,-102.750000,0.000000,top
"U3","AMS1117","SOT-223-3_TabPin2",184.000000,-97.000000,0.000000,top
"U4","MP2315GJ","PinHeader_2x04_P2.54mm_Horizontal",157.350000,-91.200000,0.000000,top
"U5","DRV8833PWP","HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias",194.337500,-60.725000,0.000000,top
"U6","INA219AxD","SOIC-8_3.9x4.9mm_P1.27mm",119.225000,-58.000000,0.000000,top
